claim_id,sale_id,component_code,component_name,component_family,supplier_code,sale_date,claim_date,days_since_sale,market_region,use_case,failure_mode,claim_cost_gbp,repeat_claim
CLM-00496,SALE-08074,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2024-11-24,2025-08-29,278,UK,Commuting,Leak,2625.19,False
CLM-00497,SALE-00932,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-05-16,2025-10-02,139,UK,Commercial,Non-start,456.8,False
CLM-00498,SALE-02989,8II-49KQ,Blower Motor,HVAC,HBRP-OIG8,2025-03-28,2026-02-02,311,EU,Commuting,Noise,434.41,False
CLM-00499,SALE-00992,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-03-30,2025-11-22,237,EU,Off-roading,Leak,1786.8,False
CLM-00500,SALE-13209,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-04-15,2026-01-06,266,MENA,Leisure,Noise,142.33,False
CLM-00501,SALE-02823,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2024-10-31,2025-04-19,170,Americas,Commuting,Noise,315.32,False
CLM-00502,SALE-05253,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2024-11-28,2025-07-02,216,Americas,Commuting,Corrosion,302.3,False
CLM-00503,SALE-11342,3YR-9OUD,Steering Knuckle,Chassis,F1CB-FNO6,2024-11-26,2025-03-23,117,MENA,Commercial,Corrosion,639.91,False
CLM-00504,SALE-06143,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-05-19,2026-01-12,238,UK,Leisure,Corrosion,263.83,False
CLM-00505,SALE-11951,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-03-24,2025-12-05,256,UK,Off-roading,Corrosion,587.44,False
CLM-00506,SALE-03814,AU5-BHXT,Suspension Control Arm,Chassis,38HY-F9SX,2025-05-10,2026-07-18,434,EU,Commercial,Corrosion,1077.88,False
CLM-00507,SALE-07693,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-01-22,2026-03-14,416,Americas,Leisure,Non-start,362.28,False
CLM-00508,SALE-06680,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-01-08,2025-04-06,88,EU,Off-roading,Non-start,178.82,False
CLM-00509,SALE-01181,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-01-24,2025-09-15,234,UK,Off-roading,Corrosion,1143.22,False
CLM-00510,SALE-00972,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-04-26,2026-10-08,530,Americas,Commercial,Corrosion,214.75,False
CLM-00511,SALE-03000,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-05-07,2025-08-26,111,UK,Off-roading,Intermittent,509.8,False
CLM-00512,SALE-10957,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-05-10,2026-01-03,238,EU,Commuting,Corrosion,746.26,False
CLM-00513,SALE-00634,6MJ-XK87,Compressor,HVAC,38HY-F9SX,2024-12-15,2025-12-14,364,UK,Off-roading,Leak,442.43,False
CLM-00514,SALE-06693,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-01-15,2026-02-28,409,Americas,Leisure,Corrosion,546.35,False
CLM-00515,SALE-08354,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-04-21,2026-02-02,287,Americas,Leisure,Intermittent,650.68,False
CLM-00516,SALE-12855,HJK-1EYY,Drive Shaft,Powertrain,38HY-F9SX,2025-05-30,2026-01-03,218,UK,Commercial,Leak,2115.15,False
CLM-00517,SALE-08784,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2024-10-09,2025-11-16,403,UK,Commuting,Intermittent,354.86,False
CLM-00518,SALE-07764,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-01-25,2025-09-04,222,EU,Off-roading,Non-start,171.88,False
CLM-00519,SALE-11268,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-02-28,2026-02-08,345,MENA,Commercial,Corrosion,2829.41,False
CLM-00520,SALE-08376,AQ6-L6GT,Brake Caliper,Chassis,B9M8-0O2R,2024-10-14,2026-02-10,484,Americas,Off-roading,Noise,737.88,False
CLM-00521,SALE-00636,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2025-06-24,2025-10-15,113,MENA,Commercial,Noise,177.8,False
CLM-00522,SALE-11927,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2024-11-30,2024-12-18,18,UK,Commercial,Intermittent,1038.39,False
CLM-00523,SALE-02695,PDP-FF5E,Steering Column,Chassis,B9M8-0O2R,2025-06-24,2026-09-19,452,Americas,Commuting,Corrosion,907.81,False
CLM-00524,SALE-02709,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-01-11,2025-08-18,219,UK,Off-roading,Noise,432.0,False
CLM-00525,SALE-07171,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-06-21,2025-11-29,161,Americas,Leisure,Corrosion,207.32,False
CLM-00526,SALE-07213,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-06-11,2025-08-20,70,EU,Off-roading,Noise,1915.09,False
CLM-00527,SALE-10308,37Q-9AH8,Starter Motor,Electrical,38HY-F9SX,2024-10-24,2024-10-31,7,UK,Commercial,Corrosion,85.93,False
CLM-00528,SALE-02379,RVH-S1K3,Turbocharger,Powertrain,38HY-F9SX,2025-05-18,2025-05-19,1,Americas,Off-roading,Leak,2890.79,False
CLM-00529,SALE-07001,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2024-11-15,2025-02-22,99,Americas,Leisure,Leak,1137.41,False
CLM-00530,SALE-08192,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-01-19,2025-11-30,315,MENA,Off-roading,Leak,1729.13,False
CLM-00531,SALE-06239,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-06-26,2025-07-30,34,Americas,Leisure,Leak,345.12,False
CLM-00532,SALE-00171,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2024-10-07,2025-05-21,226,Americas,Leisure,Non-start,994.57,False
CLM-00533,SALE-03453,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2024-11-20,2026-03-14,479,UK,Off-roading,Corrosion,1188.32,False
CLM-00534,SALE-11097,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-03-14,2026-07-18,491,UK,Commuting,Noise,651.07,False
CLM-00535,SALE-11477,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-02-01,2025-09-12,223,EU,Commuting,Leak,655.18,False
CLM-00536,SALE-05369,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2025-04-10,2026-09-12,520,UK,Commuting,Corrosion,878.06,False
CLM-00537,SALE-09766,RVH-S1K3,Turbocharger,Powertrain,B9M8-0O2R,2025-05-17,2026-01-15,243,EU,Off-roading,Non-start,2837.14,False
CLM-00538,SALE-11128,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-03-30,2025-06-26,88,EU,Commercial,Corrosion,206.87,False
CLM-00539,SALE-00399,IP9-8Q1Z,Transmission Assembly,Powertrain,B9M8-0O2R,2025-01-03,2026-04-28,480,Americas,Commuting,Intermittent,3123.74,False
CLM-00540,SALE-11244,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-10-05,2025-08-10,309,MENA,Leisure,Noise,387.11,False
CLM-00541,SALE-09397,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-02-25,2026-08-19,540,MENA,Off-roading,Noise,1115.98,False
CLM-00542,SALE-11502,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2024-11-05,2026-02-16,468,EU,Commuting,Intermittent,818.14,False
CLM-00543,SALE-00131,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-01-20,2025-06-11,142,UK,Leisure,Non-start,2830.88,False
CLM-00544,SALE-11772,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2024-10-06,2025-01-04,90,Americas,Commercial,Noise,1016.56,False
CLM-00545,SALE-03857,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-02-25,2026-01-04,313,UK,Commuting,Corrosion,209.16,False
CLM-00546,SALE-13091,37Q-9AH8,Starter Motor,Electrical,HBRP-OIG8,2025-04-12,2025-10-09,180,Americas,Leisure,Intermittent,381.18,False
CLM-00547,SALE-07262,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-06-15,2025-06-17,2,MENA,Commuting,Noise,182.03,False
CLM-00548,SALE-05322,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-02-04,2025-03-10,34,MENA,Commercial,Non-start,1434.42,False
CLM-00549,SALE-05316,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2024-12-13,2025-10-23,314,UK,Leisure,Corrosion,2098.1,False
CLM-00550,SALE-02053,UN5-Z3JQ,Front Bumper,Body,38HY-F9SX,2024-12-04,2025-07-18,226,Americas,Leisure,Noise,525.22,False
CLM-00551,SALE-10398,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-12-28,2025-12-27,364,Americas,Off-roading,Non-start,528.69,False
CLM-00552,SALE-08423,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-05-08,2026-09-27,507,Americas,Commuting,Corrosion,872.42,False
CLM-00553,SALE-09255,OCU-ZREN,Door Panel,Body,HBRP-OIG8,2025-05-08,2025-09-01,116,Americas,Commuting,Corrosion,124.68,False
CLM-00554,SALE-06940,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-04-30,2025-08-22,114,MENA,Commercial,Leak,566.76,False
CLM-00555,SALE-05019,71N-8MTZ,Alternator,Electrical,F1CB-FNO6,2025-01-18,2026-07-14,542,EU,Commercial,Intermittent,558.21,False
CLM-00556,SALE-11107,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-03-24,2026-07-16,479,EU,Commercial,Intermittent,809.44,False
CLM-00557,SALE-03002,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-06-29,2025-10-14,107,MENA,Off-roading,Leak,998.78,False
CLM-00558,SALE-08827,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2024-11-13,2025-09-24,315,Americas,Off-roading,Non-start,1048.5,False
CLM-00559,SALE-03199,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-04-20,2025-09-19,152,Americas,Commercial,Non-start,664.72,False
CLM-00560,SALE-01611,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-03-21,2025-08-28,160,MENA,Commuting,Leak,887.83,False
CLM-00561,SALE-11103,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2024-12-14,2025-02-27,75,UK,Off-roading,Non-start,831.64,False
CLM-00562,SALE-07190,71N-8MTZ,Alternator,Electrical,B9M8-0O2R,2024-12-08,2025-11-22,349,Americas,Off-roading,Non-start,678.61,False
CLM-00563,SALE-11316,RVH-S1K3,Turbocharger,Powertrain,38HY-F9SX,2024-10-19,2025-04-24,187,EU,Leisure,Noise,2339.34,False
CLM-00564,SALE-04456,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-06-19,2026-05-24,339,EU,Off-roading,Noise,430.64,False
CLM-00565,SALE-08152,X27-2HPO,Tie Rod,Chassis,38HY-F9SX,2024-11-23,2025-12-17,389,MENA,Commercial,Noise,481.24,False
CLM-00566,SALE-03586,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-04-03,2026-08-10,494,UK,Off-roading,Leak,723.01,False
CLM-00567,SALE-11417,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-04-04,2025-09-20,169,MENA,Leisure,Corrosion,530.74,False
CLM-00568,SALE-00418,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-05-02,2025-06-24,53,MENA,Commuting,Leak,298.9,False
CLM-00569,SALE-07929,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-07-01,2026-03-15,257,UK,Commercial,Leak,2029.82,False
CLM-00570,SALE-10898,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2025-03-24,2025-11-01,222,Americas,Off-roading,Noise,518.62,False
CLM-00571,SALE-01465,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-06-28,2025-08-13,46,Americas,Commercial,Noise,59.97,False
CLM-00572,SALE-11893,PDP-FF5E,Steering Column,Chassis,HBRP-OIG8,2024-11-22,2025-08-09,260,Americas,Off-roading,Corrosion,815.02,False
CLM-00573,SALE-12254,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-01-23,2025-02-07,15,Americas,Commuting,Intermittent,2110.99,False
CLM-00574,SALE-12651,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2024-10-31,2024-11-12,12,UK,Commuting,Corrosion,1176.52,False
CLM-00575,SALE-12301,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-04-14,2025-04-15,1,UK,Commercial,Leak,581.77,False
CLM-00576,SALE-06068,UN5-Z3JQ,Front Bumper,Body,YR3X-KXWN,2025-01-27,2025-04-14,77,MENA,Leisure,Noise,344.22,False
CLM-00577,SALE-12698,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-03-24,2026-09-17,542,UK,Off-roading,Intermittent,424.84,False
CLM-00578,SALE-06086,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-05-03,2025-06-22,50,Americas,Leisure,Leak,104.78,False
CLM-00579,SALE-06806,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-03-25,2025-03-31,6,UK,Off-roading,Leak,751.44,False
CLM-00580,SALE-05592,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-04-08,2025-06-22,75,Americas,Off-roading,Non-start,742.9,False
CLM-00581,SALE-02737,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2025-03-01,2026-02-10,346,MENA,Commercial,Corrosion,1059.27,False
CLM-00582,SALE-12555,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-01-23,2025-12-22,333,Americas,Leisure,Intermittent,411.5,False
CLM-00583,SALE-03705,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2024-10-13,2025-07-14,274,Americas,Off-roading,Corrosion,879.85,False
CLM-00584,SALE-01817,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2024-11-09,2026-04-03,510,MENA,Commercial,Leak,403.71,False
CLM-00585,SALE-04854,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-01-14,2025-10-09,268,EU,Commuting,Corrosion,189.04,False
CLM-00586,SALE-11884,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2025-04-18,2026-08-11,480,EU,Off-roading,Noise,1195.38,False
CLM-00587,SALE-13118,XOI-65FD,Tailgate,Body,YR3X-KXWN,2024-10-28,2025-09-01,308,MENA,Commuting,Noise,517.19,False
CLM-00588,SALE-09221,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2025-03-02,2025-10-10,222,MENA,Leisure,Intermittent,396.71,False
CLM-00589,SALE-06177,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-05-21,2026-02-23,278,Americas,Commercial,Noise,588.07,False
CLM-00590,SALE-13129,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2024-12-28,2025-12-21,358,EU,Commuting,Leak,630.22,False
CLM-00591,SALE-08696,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-05-18,2026-04-01,318,UK,Commercial,Non-start,341.51,False
CLM-00592,SALE-00799,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-04-15,2025-05-27,42,EU,Leisure,Intermittent,3369.68,False
CLM-00593,SALE-03440,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-03-05,2025-05-11,67,UK,Commuting,Leak,648.07,False
CLM-00594,SALE-02184,8II-49KQ,Blower Motor,HVAC,F1CB-FNO6,2025-01-22,2025-08-02,192,Americas,Commuting,Leak,844.65,False
CLM-00595,SALE-00076,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2024-11-17,2025-04-09,143,UK,Off-roading,Corrosion,586.76,False
CLM-00596,SALE-04235,HJK-1EYY,Drive Shaft,Powertrain,38HY-F9SX,2025-05-11,2025-10-12,154,UK,Leisure,Non-start,2553.53,False
CLM-00597,SALE-02364,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-02-09,2025-05-14,94,MENA,Commercial,Noise,1164.03,False
CLM-00598,SALE-02278,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-01-18,2025-08-03,197,MENA,Off-roading,Noise,363.01,False
CLM-00599,SALE-01990,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-06-25,2026-07-08,378,UK,Commuting,Corrosion,502.91,False
CLM-00600,SALE-06605,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-04-25,2026-05-13,383,UK,Off-roading,Noise,554.98,False
CLM-00601,SALE-05149,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-06-25,2026-12-11,534,Americas,Commuting,Leak,815.5,False
CLM-00602,SALE-07343,8II-49KQ,Blower Motor,HVAC,38HY-F9SX,2024-12-16,2026-04-19,489,EU,Leisure,Leak,706.35,False
CLM-00603,SALE-06452,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2024-11-14,2025-04-25,162,EU,Commercial,Non-start,683.53,False
CLM-00604,SALE-12036,X27-2HPO,Tie Rod,Chassis,38HY-F9SX,2025-05-16,2026-08-25,466,Americas,Commercial,Corrosion,276.23,False
CLM-00605,SALE-01843,X27-2HPO,Tie Rod,Chassis,38HY-F9SX,2025-02-02,2026-03-07,398,MENA,Leisure,Noise,1032.35,False
CLM-00606,SALE-11037,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-04-21,2026-01-24,278,Americas,Leisure,Non-start,754.23,False
CLM-00607,SALE-12382,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-05-31,2026-09-15,472,EU,Leisure,Non-start,2760.52,False
CLM-00608,SALE-05064,37Q-9AH8,Starter Motor,Electrical,38HY-F9SX,2025-02-02,2025-06-23,141,MENA,Commuting,Intermittent,750.72,False
CLM-00609,SALE-01410,HJK-1EYY,Drive Shaft,Powertrain,F1CB-FNO6,2025-06-17,2026-02-19,247,EU,Leisure,Leak,983.5,False
CLM-00610,SALE-08088,UN5-Z3JQ,Front Bumper,Body,YR3X-KXWN,2025-03-02,2025-08-19,170,UK,Off-roading,Corrosion,127.15,False
CLM-00611,SALE-07500,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-02-03,2025-09-10,219,EU,Commuting,Corrosion,910.8,False
CLM-00612,SALE-10451,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-03-19,2025-04-22,34,EU,Leisure,Leak,1153.57,False
CLM-00613,SALE-12435,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-05-30,2026-03-11,285,UK,Commuting,Non-start,1657.65,False
CLM-00614,SALE-04463,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2025-05-05,2026-06-19,410,MENA,Off-roading,Non-start,602.76,False
CLM-00615,SALE-01903,UN5-Z3JQ,Front Bumper,Body,YR3X-KXWN,2024-11-26,2026-01-07,407,Americas,Commuting,Noise,457.54,False
CLM-00616,SALE-06651,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-04-12,2025-05-18,36,Americas,Commuting,Intermittent,1884.0,False
CLM-00617,SALE-09239,IP9-8Q1Z,Transmission Assembly,Powertrain,B9M8-0O2R,2025-01-22,2026-01-31,374,UK,Commercial,Intermittent,1303.38,False
CLM-00618,SALE-08268,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-05-15,2026-02-04,265,Americas,Off-roading,Corrosion,908.31,False
CLM-00619,SALE-01091,X27-2HPO,Tie Rod,Chassis,HBRP-OIG8,2025-03-03,2025-12-26,298,UK,Commuting,Noise,144.46,False
CLM-00620,SALE-13218,XOI-65FD,Tailgate,Body,B9M8-0O2R,2025-02-02,2025-02-09,7,EU,Leisure,Noise,373.23,False
CLM-00621,SALE-04885,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-05-26,2025-06-18,23,MENA,Commercial,Noise,270.83,False
CLM-00622,SALE-03898,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2025-02-19,2026-04-11,416,MENA,Commuting,Noise,1047.02,False
CLM-00623,SALE-00582,HJK-1EYY,Drive Shaft,Powertrain,HBRP-OIG8,2024-10-22,2026-04-10,535,Americas,Commercial,Corrosion,3445.18,False
CLM-00624,SALE-02028,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-05-17,2026-02-13,272,MENA,Commercial,Leak,614.36,False
CLM-00625,SALE-02168,OCU-ZREN,Door Panel,Body,HBRP-OIG8,2025-02-09,2025-04-19,69,MENA,Off-roading,Leak,113.56,False
CLM-00626,SALE-13064,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-03-23,2025-04-05,13,UK,Commuting,Intermittent,645.56,False
CLM-00627,SALE-09971,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2024-11-24,2025-08-17,266,MENA,Commercial,Corrosion,365.63,False
CLM-00628,SALE-10476,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-10-30,2025-07-15,258,EU,Commercial,Non-start,189.35,False
CLM-00629,SALE-13155,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2024-10-10,2025-07-12,275,Americas,Commuting,Intermittent,818.68,False
CLM-00630,SALE-07115,UN5-Z3JQ,Front Bumper,Body,B9M8-0O2R,2025-04-15,2025-07-21,97,Americas,Off-roading,Noise,223.83,False
CLM-00631,SALE-08592,IP9-8Q1Z,Transmission Assembly,Powertrain,HBRP-OIG8,2025-03-17,2025-04-14,28,EU,Commuting,Leak,3005.57,False
CLM-00632,SALE-04525,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-03-22,2026-05-10,414,Americas,Commuting,Intermittent,562.09,False
CLM-00633,SALE-11432,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2025-01-18,2025-05-02,104,EU,Off-roading,Corrosion,587.59,False
CLM-00634,SALE-05681,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-03-19,2025-04-30,42,UK,Commuting,Non-start,869.92,False
CLM-00635,SALE-07746,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2025-04-28,2026-02-13,291,UK,Off-roading,Non-start,482.8,False
CLM-00636,SALE-10677,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2024-11-25,2026-04-30,521,Americas,Leisure,Corrosion,1078.28,False
CLM-00637,SALE-03078,8II-49KQ,Blower Motor,HVAC,38HY-F9SX,2025-04-02,2025-05-11,39,MENA,Leisure,Leak,374.66,False
CLM-00638,SALE-06733,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2024-12-17,2026-03-02,440,Americas,Off-roading,Non-start,442.26,False
CLM-00639,SALE-05146,PDP-FF5E,Steering Column,Chassis,F1CB-FNO6,2025-04-28,2025-06-05,38,EU,Commercial,Intermittent,210.6,False
CLM-00640,SALE-08084,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2025-01-28,2025-05-17,109,MENA,Commuting,Non-start,576.58,False
CLM-00641,SALE-02636,IP9-8Q1Z,Transmission Assembly,Powertrain,F1CB-FNO6,2025-05-26,2026-07-30,430,MENA,Commuting,Non-start,3162.38,False
CLM-00642,SALE-00678,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-06-21,2026-08-16,421,Americas,Commercial,Intermittent,855.04,False
CLM-00643,SALE-13321,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-05-09,2026-04-20,346,MENA,Commercial,Leak,1173.76,False
CLM-00644,SALE-11899,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-02-14,2026-03-02,381,MENA,Leisure,Leak,787.27,False
CLM-00645,SALE-11557,IP9-8Q1Z,Transmission Assembly,Powertrain,HBRP-OIG8,2024-10-16,2026-03-04,504,EU,Commercial,Non-start,1168.76,False
CLM-00646,SALE-09904,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-06-29,2026-11-21,510,EU,Commuting,Corrosion,293.7,False
CLM-00647,SALE-12542,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2024-12-15,2026-06-11,543,EU,Leisure,Leak,302.59,False
CLM-00648,SALE-11226,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2025-03-13,2025-04-12,30,MENA,Commuting,Corrosion,834.29,False
CLM-00649,SALE-00169,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-04-13,2025-09-18,158,UK,Off-roading,Leak,260.24,False
CLM-00650,SALE-00917,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2024-12-16,2025-05-26,161,Americas,Off-roading,Intermittent,419.51,False
CLM-00651,SALE-03092,UN5-Z3JQ,Front Bumper,Body,YR3X-KXWN,2025-03-21,2026-03-24,368,EU,Commuting,Corrosion,523.32,False
CLM-00652,SALE-07155,X27-2HPO,Tie Rod,Chassis,F1CB-FNO6,2025-02-12,2026-02-06,359,EU,Commuting,Noise,904.8,False
CLM-00653,SALE-08756,IP9-8Q1Z,Transmission Assembly,Powertrain,HBRP-OIG8,2025-05-27,2026-07-04,403,Americas,Leisure,Leak,969.68,False
CLM-00654,SALE-06798,6MJ-XK87,Compressor,HVAC,B9M8-0O2R,2024-10-02,2025-02-13,134,Americas,Off-roading,Intermittent,295.44,False
CLM-00655,SALE-12976,X27-2HPO,Tie Rod,Chassis,38HY-F9SX,2024-12-21,2025-08-30,252,MENA,Off-roading,Noise,1007.69,False
CLM-00656,SALE-10870,IP9-8Q1Z,Transmission Assembly,Powertrain,B9M8-0O2R,2025-02-08,2025-09-02,206,MENA,Commercial,Corrosion,3351.55,False
CLM-00657,SALE-00306,UN5-Z3JQ,Front Bumper,Body,YR3X-KXWN,2024-10-12,2025-03-09,148,EU,Commercial,Non-start,151.83,False
CLM-00658,SALE-00685,8II-49KQ,Blower Motor,HVAC,38HY-F9SX,2025-05-09,2026-09-29,508,MENA,Leisure,Leak,959.0,False
CLM-00659,SALE-01350,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-03-27,2026-09-08,530,MENA,Leisure,Leak,515.28,False
CLM-00660,SALE-10124,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2024-12-20,2025-06-29,191,MENA,Leisure,Noise,1098.11,False
CLM-00661,SALE-11390,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2024-10-12,2025-04-15,185,MENA,Leisure,Corrosion,930.93,False
CLM-00662,SALE-09670,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2024-12-19,2026-01-29,406,MENA,Commercial,Non-start,3196.35,False
CLM-00663,SALE-08096,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2024-12-15,2025-07-20,217,EU,Off-roading,Noise,404.83,False
CLM-00664,SALE-10812,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2024-12-21,2025-03-19,88,EU,Leisure,Corrosion,289.57,False
CLM-00665,SALE-01504,HJK-1EYY,Drive Shaft,Powertrain,F1CB-FNO6,2025-06-07,2026-08-14,433,UK,Commercial,Intermittent,493.17,False
CLM-00666,SALE-01656,IP9-8Q1Z,Transmission Assembly,Powertrain,HBRP-OIG8,2025-05-12,2026-02-10,274,EU,Off-roading,Noise,2306.76,False
CLM-00667,SALE-11755,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-01-23,2025-03-25,61,Americas,Commuting,Corrosion,82.1,False
