sale_id,component_code,supplier_code,sale_date,market_region,use_case
SALE-02526,AU5-BHXT,F1CB-FNO6,2024-10-08,UK,Commuting
SALE-02528,OCU-ZREN,YR3X-KXWN,2024-11-14,EU,Off-roading
SALE-02531,71N-8MTZ,38HY-F9SX,2024-10-27,MENA,Commercial
SALE-02532,XOI-65FD,HBRP-OIG8,2025-04-11,UK,Leisure
SALE-02534,IP9-8Q1Z,AK1V-RJNV,2024-12-01,Americas,Leisure
SALE-02535,X27-2HPO,F1CB-FNO6,2024-12-01,EU,Commuting
SALE-02540,X27-2HPO,MECO-SFOG,2025-01-23,MENA,Off-roading
SALE-02541,AU5-BHXT,B9M8-0O2R,2025-01-29,EU,Off-roading
SALE-02544,AQ6-L6GT,AK1V-RJNV,2025-03-12,UK,Commuting
SALE-02548,37Q-9AH8,GFYG-WWQC,2025-03-22,UK,Commercial
SALE-02549,OCU-ZREN,YR3X-KXWN,2024-12-03,MENA,Leisure
SALE-02550,3YR-9OUD,MECO-SFOG,2025-01-09,MENA,Commuting
SALE-02552,37Q-9AH8,HBRP-OIG8,2024-12-05,Americas,Leisure
SALE-02555,XOI-65FD,YR3X-KXWN,2025-06-16,UK,Commuting
SALE-02557,6MJ-XK87,GFYG-WWQC,2025-03-27,UK,Leisure
SALE-02560,HJK-1EYY,AK1V-RJNV,2024-10-17,Americas,Commercial
SALE-02562,8II-49KQ,GFYG-WWQC,2025-04-20,MENA,Leisure
SALE-02563,37Q-9AH8,F1CB-FNO6,2025-04-12,UK,Commercial
SALE-02564,RVH-S1K3,AK1V-RJNV,2025-02-26,EU,Commercial
SALE-02566,3YR-9OUD,38HY-F9SX,2024-11-04,MENA,Commercial
SALE-02568,AU5-BHXT,MECO-SFOG,2024-10-29,UK,Commuting
SALE-02569,AQ6-L6GT,AK1V-RJNV,2025-05-09,EU,Commuting
SALE-02570,IP9-8Q1Z,AK1V-RJNV,2024-11-22,Americas,Commuting
SALE-02573,XOI-65FD,YR3X-KXWN,2024-12-15,Americas,Commuting
SALE-02576,AU5-BHXT,MECO-SFOG,2025-01-25,MENA,Commercial
SALE-02578,HJK-1EYY,AK1V-RJNV,2025-03-24,MENA,Leisure
SALE-02582,XOI-65FD,F1CB-FNO6,2024-10-21,Americas,Commercial
SALE-02583,PDP-FF5E,MECO-SFOG,2024-12-12,Americas,Leisure
SALE-02584,X27-2HPO,MECO-SFOG,2024-11-05,EU,Off-roading
SALE-02586,37Q-9AH8,GFYG-WWQC,2025-05-21,Americas,Commuting
SALE-02588,X27-2HPO,MECO-SFOG,2025-04-24,UK,Commuting
SALE-02590,X27-2HPO,MECO-SFOG,2024-11-13,MENA,Commuting
SALE-02591,AU5-BHXT,MECO-SFOG,2024-12-30,UK,Commuting
SALE-02598,PDP-FF5E,38HY-F9SX,2024-10-21,EU,Leisure
SALE-02599,AU5-BHXT,MECO-SFOG,2025-05-16,UK,Leisure
SALE-02601,3YR-9OUD,B9M8-0O2R,2025-02-07,MENA,Commercial
SALE-02603,HJK-1EYY,AK1V-RJNV,2024-12-10,MENA,Leisure
SALE-02609,71N-8MTZ,GFYG-WWQC,2024-10-13,EU,Commuting
SALE-02610,AU5-BHXT,MECO-SFOG,2024-10-03,MENA,Off-roading
SALE-02611,71N-8MTZ,GFYG-WWQC,2025-05-12,UK,Leisure
SALE-02612,RVH-S1K3,AK1V-RJNV,2025-03-24,MENA,Commercial
SALE-02614,6MJ-XK87,GFYG-WWQC,2025-05-29,MENA,Commercial
SALE-02616,6MJ-XK87,GFYG-WWQC,2024-10-14,EU,Commuting
SALE-02617,AU5-BHXT,HBRP-OIG8,2025-04-13,UK,Off-roading
SALE-02623,OCU-ZREN,F1CB-FNO6,2024-10-03,Americas,Off-roading
SALE-02629,XOI-65FD,YR3X-KXWN,2024-11-21,EU,Off-roading
SALE-02632,X27-2HPO,MECO-SFOG,2025-02-19,EU,Leisure
SALE-02633,OCU-ZREN,YR3X-KXWN,2024-12-25,EU,Off-roading
SALE-02635,8II-49KQ,GFYG-WWQC,2024-11-15,Americas,Off-roading
SALE-02636,IP9-8Q1Z,F1CB-FNO6,2025-05-26,MENA,Commuting
SALE-02637,37Q-9AH8,38HY-F9SX,2024-10-10,Americas,Commercial
SALE-02639,71N-8MTZ,GFYG-WWQC,2025-03-27,UK,Commuting
SALE-02640,PDP-FF5E,MECO-SFOG,2024-10-06,Americas,Off-roading
SALE-02649,71N-8MTZ,GFYG-WWQC,2024-11-19,Americas,Commercial
SALE-02652,PDP-FF5E,MECO-SFOG,2025-02-21,MENA,Off-roading
SALE-02653,PDP-FF5E,MECO-SFOG,2024-11-29,MENA,Commercial
SALE-02654,UN5-Z3JQ,YR3X-KXWN,2024-12-14,EU,Off-roading
SALE-02655,AQ6-L6GT,AK1V-RJNV,2024-10-03,Americas,Commercial
SALE-02659,3YR-9OUD,MECO-SFOG,2025-05-03,MENA,Commercial
SALE-02662,6MJ-XK87,B9M8-0O2R,2025-06-12,MENA,Off-roading
SALE-02664,PDP-FF5E,MECO-SFOG,2025-02-03,EU,Commercial
SALE-02666,8II-49KQ,38HY-F9SX,2025-04-22,EU,Commuting
SALE-02667,AU5-BHXT,MECO-SFOG,2025-03-21,Americas,Off-roading
SALE-02668,37Q-9AH8,B9M8-0O2R,2025-05-05,UK,Commuting
SALE-02669,HJK-1EYY,AK1V-RJNV,2025-06-02,MENA,Off-roading
SALE-02672,OCU-ZREN,F1CB-FNO6,2025-03-31,Americas,Leisure
SALE-02676,AU5-BHXT,MECO-SFOG,2025-04-17,MENA,Leisure
SALE-02678,6MJ-XK87,GFYG-WWQC,2025-03-14,EU,Commuting
SALE-02679,AQ6-L6GT,AK1V-RJNV,2025-05-30,EU,Leisure
SALE-02680,71N-8MTZ,F1CB-FNO6,2025-05-15,EU,Commuting
SALE-02682,8II-49KQ,GFYG-WWQC,2025-04-14,Americas,Leisure
SALE-02683,6MJ-XK87,GFYG-WWQC,2025-04-22,EU,Off-roading
SALE-02685,37Q-9AH8,GFYG-WWQC,2025-06-14,UK,Off-roading
SALE-02687,XOI-65FD,YR3X-KXWN,2025-06-29,Americas,Commercial
SALE-02688,37Q-9AH8,GFYG-WWQC,2024-10-09,MENA,Commuting
SALE-02689,XOI-65FD,YR3X-KXWN,2025-04-19,MENA,Commuting
SALE-02690,AQ6-L6GT,F1CB-FNO6,2024-11-28,MENA,Commercial
SALE-02692,8II-49KQ,GFYG-WWQC,2025-01-27,Americas,Commuting
SALE-02695,PDP-FF5E,B9M8-0O2R,2025-06-24,Americas,Commuting
SALE-02698,AQ6-L6GT,AK1V-RJNV,2025-02-11,Americas,Commercial
SALE-02701,X27-2HPO,38HY-F9SX,2025-01-15,MENA,Off-roading
SALE-02703,XOI-65FD,YR3X-KXWN,2025-02-24,EU,Leisure
SALE-02706,AU5-BHXT,F1CB-FNO6,2025-04-28,EU,Leisure
SALE-02709,3YR-9OUD,MECO-SFOG,2025-01-11,UK,Off-roading
SALE-02711,HJK-1EYY,AK1V-RJNV,2025-04-27,EU,Commuting
SALE-02714,IP9-8Q1Z,AK1V-RJNV,2025-01-17,EU,Off-roading
SALE-02716,UN5-Z3JQ,F1CB-FNO6,2024-11-19,UK,Leisure
SALE-02717,71N-8MTZ,GFYG-WWQC,2025-01-13,MENA,Off-roading
SALE-02720,X27-2HPO,F1CB-FNO6,2024-10-27,MENA,Leisure
SALE-02721,UN5-Z3JQ,38HY-F9SX,2025-06-30,EU,Commercial
SALE-02726,XOI-65FD,YR3X-KXWN,2025-06-22,EU,Commuting
SALE-02728,RVH-S1K3,HBRP-OIG8,2025-03-15,Americas,Commuting
SALE-02730,3YR-9OUD,MECO-SFOG,2024-10-01,UK,Off-roading
SALE-02731,OCU-ZREN,YR3X-KXWN,2025-06-18,UK,Leisure
SALE-02732,3YR-9OUD,MECO-SFOG,2024-12-02,Americas,Off-roading
SALE-02735,XOI-65FD,B9M8-0O2R,2025-04-19,UK,Commuting
SALE-02736,3YR-9OUD,MECO-SFOG,2025-05-10,EU,Commuting
SALE-02737,PDP-FF5E,MECO-SFOG,2025-03-01,MENA,Commercial
SALE-02739,AQ6-L6GT,AK1V-RJNV,2025-05-05,EU,Leisure
SALE-02740,OCU-ZREN,B9M8-0O2R,2025-04-14,EU,Leisure
SALE-02741,37Q-9AH8,HBRP-OIG8,2025-04-20,MENA,Commercial
SALE-02742,UN5-Z3JQ,YR3X-KXWN,2025-05-22,EU,Leisure
SALE-02743,HJK-1EYY,F1CB-FNO6,2025-02-18,UK,Off-roading
SALE-02745,IP9-8Q1Z,AK1V-RJNV,2024-11-26,UK,Commercial
SALE-02747,AQ6-L6GT,HBRP-OIG8,2025-02-19,EU,Off-roading
SALE-02749,OCU-ZREN,YR3X-KXWN,2025-01-14,Americas,Commercial
SALE-02750,3YR-9OUD,MECO-SFOG,2025-03-14,UK,Commercial
SALE-02751,8II-49KQ,B9M8-0O2R,2025-05-03,UK,Off-roading
SALE-02752,IP9-8Q1Z,AK1V-RJNV,2024-12-10,MENA,Commuting
SALE-02753,OCU-ZREN,YR3X-KXWN,2024-12-29,EU,Commercial
SALE-02754,PDP-FF5E,HBRP-OIG8,2025-05-16,UK,Commercial
SALE-02755,RVH-S1K3,38HY-F9SX,2024-12-18,UK,Off-roading
SALE-02757,UN5-Z3JQ,HBRP-OIG8,2025-06-03,EU,Commercial
SALE-02758,37Q-9AH8,HBRP-OIG8,2025-06-29,EU,Commuting
SALE-02760,3YR-9OUD,MECO-SFOG,2025-01-24,EU,Off-roading
SALE-02764,AU5-BHXT,MECO-SFOG,2025-03-21,EU,Leisure
SALE-02765,X27-2HPO,MECO-SFOG,2024-10-16,Americas,Off-roading
SALE-02766,8II-49KQ,38HY-F9SX,2024-11-25,EU,Leisure
SALE-02767,XOI-65FD,YR3X-KXWN,2025-01-11,EU,Commercial
SALE-02771,OCU-ZREN,B9M8-0O2R,2025-06-26,Americas,Leisure
SALE-02774,RVH-S1K3,AK1V-RJNV,2024-12-25,EU,Commuting
SALE-02776,IP9-8Q1Z,AK1V-RJNV,2024-11-01,Americas,Leisure
SALE-02778,37Q-9AH8,GFYG-WWQC,2024-11-20,MENA,Commercial
SALE-02779,X27-2HPO,F1CB-FNO6,2024-12-18,UK,Commercial
SALE-02780,PDP-FF5E,MECO-SFOG,2025-03-23,MENA,Off-roading
SALE-02782,6MJ-XK87,HBRP-OIG8,2024-12-15,MENA,Leisure
SALE-02785,X27-2HPO,B9M8-0O2R,2024-12-20,UK,Commercial
SALE-02786,AQ6-L6GT,AK1V-RJNV,2024-12-10,Americas,Leisure
SALE-02787,UN5-Z3JQ,YR3X-KXWN,2024-12-10,UK,Off-roading
SALE-02788,3YR-9OUD,MECO-SFOG,2024-11-15,EU,Commercial
SALE-02789,IP9-8Q1Z,F1CB-FNO6,2024-11-16,UK,Leisure
SALE-02791,X27-2HPO,MECO-SFOG,2025-02-26,Americas,Commuting
SALE-02792,6MJ-XK87,GFYG-WWQC,2025-02-07,UK,Commuting
SALE-02795,AU5-BHXT,HBRP-OIG8,2025-06-01,EU,Commuting
SALE-02798,X27-2HPO,MECO-SFOG,2025-01-11,EU,Commuting
SALE-02800,AU5-BHXT,MECO-SFOG,2024-11-06,UK,Commercial
SALE-02805,AU5-BHXT,F1CB-FNO6,2025-01-15,EU,Commercial
SALE-02807,XOI-65FD,YR3X-KXWN,2024-12-22,MENA,Commuting
SALE-02810,37Q-9AH8,GFYG-WWQC,2025-05-03,Americas,Commuting
SALE-02814,PDP-FF5E,MECO-SFOG,2025-04-12,EU,Leisure
SALE-02815,PDP-FF5E,MECO-SFOG,2025-03-07,MENA,Commercial
SALE-02817,71N-8MTZ,B9M8-0O2R,2025-01-12,EU,Commuting
SALE-02818,8II-49KQ,38HY-F9SX,2024-11-03,Americas,Commercial
SALE-02819,PDP-FF5E,MECO-SFOG,2025-01-10,MENA,Leisure
SALE-02821,XOI-65FD,YR3X-KXWN,2025-02-18,UK,Leisure
SALE-02823,AU5-BHXT,MECO-SFOG,2024-10-31,Americas,Commuting
SALE-02824,XOI-65FD,38HY-F9SX,2024-12-02,EU,Off-roading
SALE-02825,3YR-9OUD,HBRP-OIG8,2024-12-26,UK,Commercial
SALE-02827,PDP-FF5E,MECO-SFOG,2024-11-30,UK,Leisure
SALE-02833,37Q-9AH8,GFYG-WWQC,2024-12-19,MENA,Commuting
SALE-02834,IP9-8Q1Z,B9M8-0O2R,2024-12-16,MENA,Leisure
SALE-02837,OCU-ZREN,YR3X-KXWN,2024-12-16,Americas,Leisure
SALE-02839,71N-8MTZ,GFYG-WWQC,2025-03-13,MENA,Commuting
SALE-02840,HJK-1EYY,AK1V-RJNV,2024-10-09,Americas,Commercial
SALE-02841,UN5-Z3JQ,YR3X-KXWN,2025-03-24,UK,Commuting
SALE-02844,XOI-65FD,F1CB-FNO6,2025-06-02,MENA,Off-roading
SALE-02845,AU5-BHXT,MECO-SFOG,2025-01-30,EU,Commuting
SALE-02846,IP9-8Q1Z,AK1V-RJNV,2025-04-03,MENA,Commuting
SALE-02847,6MJ-XK87,GFYG-WWQC,2024-11-01,MENA,Commercial
SALE-02850,UN5-Z3JQ,YR3X-KXWN,2024-11-25,UK,Off-roading
SALE-02851,AQ6-L6GT,AK1V-RJNV,2025-06-30,Americas,Commercial
SALE-02854,OCU-ZREN,YR3X-KXWN,2025-06-06,Americas,Commuting
SALE-02855,HJK-1EYY,AK1V-RJNV,2024-12-17,Americas,Leisure
SALE-02857,3YR-9OUD,MECO-SFOG,2025-01-16,UK,Commuting
SALE-02858,UN5-Z3JQ,YR3X-KXWN,2025-06-30,UK,Commuting
SALE-02859,PDP-FF5E,MECO-SFOG,2024-10-15,UK,Commuting
SALE-02862,AU5-BHXT,MECO-SFOG,2025-04-23,UK,Leisure
SALE-02863,X27-2HPO,MECO-SFOG,2025-01-21,Americas,Leisure
SALE-02864,8II-49KQ,GFYG-WWQC,2025-06-10,Americas,Off-roading
SALE-02866,XOI-65FD,YR3X-KXWN,2025-04-04,UK,Commuting
SALE-02867,8II-49KQ,GFYG-WWQC,2025-05-15,EU,Commuting
SALE-02870,RVH-S1K3,AK1V-RJNV,2024-10-01,UK,Commercial
SALE-02872,OCU-ZREN,YR3X-KXWN,2025-03-10,EU,Commercial
SALE-02873,X27-2HPO,MECO-SFOG,2025-03-10,UK,Off-roading
SALE-02874,6MJ-XK87,GFYG-WWQC,2025-02-05,Americas,Leisure
SALE-02875,HJK-1EYY,HBRP-OIG8,2025-02-28,Americas,Commuting
SALE-02879,8II-49KQ,GFYG-WWQC,2024-10-30,Americas,Leisure
SALE-02881,RVH-S1K3,AK1V-RJNV,2024-12-19,EU,Commercial
SALE-02882,AU5-BHXT,MECO-SFOG,2024-11-08,UK,Leisure
SALE-02883,6MJ-XK87,GFYG-WWQC,2025-05-28,MENA,Off-roading
SALE-02886,XOI-65FD,YR3X-KXWN,2025-01-24,EU,Commercial
SALE-02887,PDP-FF5E,MECO-SFOG,2025-06-26,EU,Commercial
SALE-02890,37Q-9AH8,GFYG-WWQC,2024-11-22,EU,Leisure
SALE-02891,37Q-9AH8,GFYG-WWQC,2024-12-07,MENA,Leisure
SALE-02892,71N-8MTZ,GFYG-WWQC,2024-11-03,Americas,Off-roading
SALE-02894,AU5-BHXT,MECO-SFOG,2025-06-06,UK,Leisure
SALE-02895,3YR-9OUD,MECO-SFOG,2025-01-19,UK,Leisure
SALE-02896,X27-2HPO,MECO-SFOG,2025-01-02,MENA,Off-roading
SALE-02898,XOI-65FD,YR3X-KXWN,2025-03-28,MENA,Commercial
SALE-02899,X27-2HPO,MECO-SFOG,2024-11-16,Americas,Off-roading
SALE-02901,X27-2HPO,B9M8-0O2R,2025-04-20,Americas,Commercial
SALE-02907,RVH-S1K3,AK1V-RJNV,2024-12-05,MENA,Commuting
SALE-02912,AQ6-L6GT,AK1V-RJNV,2024-12-14,EU,Commercial
SALE-02913,6MJ-XK87,38HY-F9SX,2024-11-28,UK,Leisure
SALE-02915,HJK-1EYY,AK1V-RJNV,2024-10-15,Americas,Off-roading
SALE-02916,AU5-BHXT,MECO-SFOG,2025-05-19,EU,Commuting
SALE-02917,8II-49KQ,38HY-F9SX,2025-04-17,MENA,Commercial
SALE-02919,3YR-9OUD,MECO-SFOG,2024-11-04,Americas,Commercial
SALE-02920,AQ6-L6GT,B9M8-0O2R,2025-03-11,Americas,Commuting
SALE-02925,8II-49KQ,GFYG-WWQC,2025-02-24,Americas,Off-roading
SALE-02929,RVH-S1K3,AK1V-RJNV,2025-06-13,UK,Leisure
SALE-02930,IP9-8Q1Z,AK1V-RJNV,2025-01-11,UK,Off-roading
SALE-02931,AU5-BHXT,B9M8-0O2R,2025-01-29,UK,Off-roading
SALE-02934,8II-49KQ,38HY-F9SX,2024-11-11,EU,Leisure
SALE-02936,RVH-S1K3,AK1V-RJNV,2024-10-29,EU,Commuting
SALE-02937,37Q-9AH8,GFYG-WWQC,2024-10-14,MENA,Leisure
SALE-02939,XOI-65FD,YR3X-KXWN,2025-04-07,Americas,Commuting
SALE-02941,AU5-BHXT,MECO-SFOG,2025-04-01,UK,Commuting
SALE-02942,8II-49KQ,F1CB-FNO6,2024-11-06,Americas,Leisure
SALE-02943,PDP-FF5E,F1CB-FNO6,2024-10-14,Americas,Commuting
SALE-02944,X27-2HPO,MECO-SFOG,2025-03-08,EU,Leisure
SALE-02947,OCU-ZREN,YR3X-KXWN,2024-12-22,EU,Commercial
SALE-02948,OCU-ZREN,HBRP-OIG8,2024-10-22,EU,Commuting
SALE-02949,3YR-9OUD,MECO-SFOG,2025-02-09,MENA,Commuting
SALE-02953,IP9-8Q1Z,AK1V-RJNV,2025-06-24,EU,Commuting
SALE-02955,71N-8MTZ,GFYG-WWQC,2025-01-28,MENA,Commuting
SALE-02956,AQ6-L6GT,HBRP-OIG8,2025-06-03,MENA,Leisure
SALE-02957,IP9-8Q1Z,AK1V-RJNV,2024-11-07,UK,Commercial
SALE-02958,X27-2HPO,F1CB-FNO6,2025-06-02,EU,Off-roading
SALE-02959,37Q-9AH8,B9M8-0O2R,2024-10-21,MENA,Off-roading
SALE-02960,OCU-ZREN,YR3X-KXWN,2025-01-18,Americas,Commercial
SALE-02963,RVH-S1K3,AK1V-RJNV,2024-10-08,EU,Off-roading
SALE-02969,IP9-8Q1Z,AK1V-RJNV,2025-05-07,MENA,Commuting
SALE-02971,X27-2HPO,MECO-SFOG,2025-05-08,UK,Leisure
SALE-02972,37Q-9AH8,F1CB-FNO6,2025-01-15,EU,Commercial
SALE-02974,8II-49KQ,F1CB-FNO6,2024-10-08,EU,Leisure
SALE-02975,OCU-ZREN,B9M8-0O2R,2025-04-07,Americas,Off-roading
SALE-02976,UN5-Z3JQ,YR3X-KXWN,2024-12-20,Americas,Commercial
SALE-02977,HJK-1EYY,AK1V-RJNV,2025-01-16,EU,Commercial
SALE-02982,IP9-8Q1Z,38HY-F9SX,2025-04-18,Americas,Off-roading
SALE-02984,6MJ-XK87,GFYG-WWQC,2024-11-08,Americas,Commuting
SALE-02986,PDP-FF5E,MECO-SFOG,2024-10-04,Americas,Commuting
SALE-02987,37Q-9AH8,GFYG-WWQC,2024-12-16,MENA,Commercial
SALE-02989,8II-49KQ,HBRP-OIG8,2025-03-28,EU,Commuting
SALE-02991,OCU-ZREN,F1CB-FNO6,2025-03-01,EU,Commercial
SALE-02992,RVH-S1K3,AK1V-RJNV,2025-03-13,EU,Commuting
SALE-02997,AU5-BHXT,MECO-SFOG,2025-04-01,EU,Off-roading
SALE-02999,71N-8MTZ,GFYG-WWQC,2024-12-11,EU,Leisure
SALE-03000,6MJ-XK87,GFYG-WWQC,2025-05-07,UK,Off-roading
SALE-03001,37Q-9AH8,GFYG-WWQC,2025-03-22,MENA,Commercial
SALE-03002,6MJ-XK87,GFYG-WWQC,2025-06-29,MENA,Off-roading
SALE-03004,IP9-8Q1Z,AK1V-RJNV,2025-06-26,MENA,Commercial
SALE-03005,37Q-9AH8,GFYG-WWQC,2024-10-20,Americas,Leisure
SALE-03007,OCU-ZREN,YR3X-KXWN,2025-02-24,UK,Commercial
SALE-03009,IP9-8Q1Z,F1CB-FNO6,2025-03-14,EU,Commercial
SALE-03012,AQ6-L6GT,AK1V-RJNV,2024-10-14,UK,Off-roading
SALE-03013,8II-49KQ,B9M8-0O2R,2025-02-09,EU,Off-roading
SALE-03015,AQ6-L6GT,AK1V-RJNV,2025-06-20,EU,Commuting
SALE-03016,37Q-9AH8,GFYG-WWQC,2025-05-13,UK,Commercial
SALE-03017,RVH-S1K3,AK1V-RJNV,2025-06-15,EU,Commercial
SALE-03018,IP9-8Q1Z,AK1V-RJNV,2025-05-22,EU,Commuting
SALE-03021,UN5-Z3JQ,YR3X-KXWN,2024-10-24,UK,Commuting
SALE-03022,HJK-1EYY,38HY-F9SX,2025-06-28,Americas,Leisure
SALE-03023,6MJ-XK87,GFYG-WWQC,2025-01-03,MENA,Off-roading
SALE-03024,37Q-9AH8,GFYG-WWQC,2025-02-19,EU,Off-roading
SALE-03025,AU5-BHXT,HBRP-OIG8,2024-12-20,UK,Commuting
SALE-03026,X27-2HPO,MECO-SFOG,2025-07-01,UK,Commuting
SALE-03029,OCU-ZREN,YR3X-KXWN,2025-04-26,MENA,Commercial
SALE-03031,XOI-65FD,B9M8-0O2R,2024-11-08,Americas,Off-roading
SALE-03033,3YR-9OUD,MECO-SFOG,2025-02-01,UK,Commuting
SALE-03035,X27-2HPO,MECO-SFOG,2025-03-29,EU,Off-roading
SALE-03036,UN5-Z3JQ,YR3X-KXWN,2025-01-05,EU,Commuting
SALE-03037,UN5-Z3JQ,YR3X-KXWN,2025-04-09,EU,Commercial
SALE-03038,3YR-9OUD,38HY-F9SX,2024-12-13,MENA,Leisure
SALE-03042,AU5-BHXT,HBRP-OIG8,2025-01-24,Americas,Leisure
SALE-03044,HJK-1EYY,AK1V-RJNV,2025-01-06,UK,Commercial
SALE-03048,8II-49KQ,GFYG-WWQC,2025-02-25,EU,Off-roading
SALE-03051,6MJ-XK87,F1CB-FNO6,2024-10-23,EU,Commercial
SALE-03052,37Q-9AH8,GFYG-WWQC,2025-01-13,MENA,Commuting
SALE-03053,71N-8MTZ,GFYG-WWQC,2025-05-10,Americas,Leisure
SALE-03054,HJK-1EYY,AK1V-RJNV,2024-10-15,UK,Commuting
SALE-03055,6MJ-XK87,GFYG-WWQC,2024-12-17,UK,Off-roading
SALE-03057,AU5-BHXT,MECO-SFOG,2025-05-29,Americas,Leisure
SALE-03058,RVH-S1K3,AK1V-RJNV,2024-10-18,UK,Off-roading
SALE-03064,37Q-9AH8,B9M8-0O2R,2024-10-27,Americas,Commuting
SALE-03071,37Q-9AH8,GFYG-WWQC,2025-04-02,UK,Commercial
SALE-03072,HJK-1EYY,AK1V-RJNV,2025-04-12,EU,Off-roading
SALE-03074,OCU-ZREN,38HY-F9SX,2024-11-25,EU,Commercial
SALE-03075,UN5-Z3JQ,YR3X-KXWN,2025-05-18,UK,Commercial
SALE-03077,RVH-S1K3,AK1V-RJNV,2024-10-28,MENA,Commercial
SALE-03078,8II-49KQ,38HY-F9SX,2025-04-02,MENA,Leisure
SALE-03081,AQ6-L6GT,AK1V-RJNV,2024-11-10,UK,Commercial
SALE-03083,71N-8MTZ,GFYG-WWQC,2025-06-17,UK,Off-roading
SALE-03085,PDP-FF5E,MECO-SFOG,2024-12-23,EU,Off-roading
SALE-03086,3YR-9OUD,MECO-SFOG,2024-11-15,Americas,Commercial
SALE-03090,IP9-8Q1Z,AK1V-RJNV,2025-02-13,EU,Off-roading
SALE-03091,HJK-1EYY,HBRP-OIG8,2025-04-01,UK,Commuting
SALE-03092,UN5-Z3JQ,YR3X-KXWN,2025-03-21,EU,Commuting
SALE-03094,X27-2HPO,MECO-SFOG,2025-01-28,EU,Commercial
SALE-03100,37Q-9AH8,38HY-F9SX,2024-11-22,MENA,Commuting
SALE-03102,XOI-65FD,F1CB-FNO6,2024-11-21,UK,Off-roading
SALE-03103,37Q-9AH8,HBRP-OIG8,2024-12-11,Americas,Commercial
SALE-03104,AU5-BHXT,MECO-SFOG,2024-10-28,EU,Leisure
SALE-03108,AU5-BHXT,MECO-SFOG,2025-04-19,Americas,Off-roading
SALE-03111,X27-2HPO,MECO-SFOG,2025-03-26,Americas,Off-roading
SALE-03112,37Q-9AH8,GFYG-WWQC,2024-11-21,Americas,Commuting
SALE-03113,AQ6-L6GT,AK1V-RJNV,2024-12-18,EU,Commuting
SALE-03115,IP9-8Q1Z,38HY-F9SX,2024-10-08,UK,Off-roading
SALE-03116,UN5-Z3JQ,YR3X-KXWN,2025-05-02,MENA,Commercial
SALE-03117,6MJ-XK87,HBRP-OIG8,2024-10-25,MENA,Off-roading
SALE-03121,37Q-9AH8,HBRP-OIG8,2025-04-16,UK,Leisure
SALE-03122,IP9-8Q1Z,AK1V-RJNV,2025-01-02,UK,Commuting
SALE-03126,3YR-9OUD,MECO-SFOG,2025-01-12,Americas,Commuting
SALE-03127,XOI-65FD,YR3X-KXWN,2024-11-08,EU,Commercial
SALE-03130,AQ6-L6GT,AK1V-RJNV,2025-02-12,UK,Leisure
SALE-03132,AQ6-L6GT,AK1V-RJNV,2025-05-20,Americas,Commuting
SALE-03133,IP9-8Q1Z,AK1V-RJNV,2024-11-08,MENA,Off-roading
SALE-03134,AQ6-L6GT,B9M8-0O2R,2024-11-16,UK,Off-roading
SALE-03135,UN5-Z3JQ,YR3X-KXWN,2024-11-05,MENA,Commuting
SALE-03136,HJK-1EYY,AK1V-RJNV,2025-01-03,MENA,Leisure
SALE-03139,3YR-9OUD,MECO-SFOG,2025-02-23,EU,Off-roading
SALE-03141,3YR-9OUD,MECO-SFOG,2024-12-04,MENA,Commuting
SALE-03142,OCU-ZREN,YR3X-KXWN,2025-05-16,Americas,Off-roading
SALE-03144,RVH-S1K3,AK1V-RJNV,2025-03-30,Americas,Off-roading
SALE-03146,XOI-65FD,YR3X-KXWN,2025-03-04,MENA,Commuting
SALE-03149,UN5-Z3JQ,YR3X-KXWN,2025-01-07,MENA,Off-roading
SALE-03152,OCU-ZREN,HBRP-OIG8,2025-01-20,Americas,Leisure
SALE-03154,IP9-8Q1Z,HBRP-OIG8,2025-03-18,Americas,Off-roading
SALE-03155,IP9-8Q1Z,AK1V-RJNV,2025-02-16,Americas,Leisure
SALE-03156,3YR-9OUD,MECO-SFOG,2025-05-19,MENA,Leisure
SALE-03157,37Q-9AH8,GFYG-WWQC,2025-05-27,UK,Commuting
SALE-03158,3YR-9OUD,38HY-F9SX,2025-06-10,Americas,Leisure
SALE-03162,6MJ-XK87,GFYG-WWQC,2024-12-11,Americas,Commuting
SALE-03163,71N-8MTZ,GFYG-WWQC,2025-06-20,UK,Commercial
SALE-03164,AQ6-L6GT,AK1V-RJNV,2025-05-10,UK,Leisure
SALE-03165,HJK-1EYY,AK1V-RJNV,2024-12-16,EU,Commercial
SALE-03166,3YR-9OUD,MECO-SFOG,2024-12-01,MENA,Commercial
SALE-03168,HJK-1EYY,AK1V-RJNV,2025-03-06,EU,Leisure
SALE-03169,OCU-ZREN,YR3X-KXWN,2025-02-02,MENA,Commuting
SALE-03170,AU5-BHXT,MECO-SFOG,2025-03-10,UK,Leisure
SALE-03173,OCU-ZREN,YR3X-KXWN,2025-01-14,UK,Commuting
SALE-03174,XOI-65FD,YR3X-KXWN,2025-02-08,MENA,Off-roading
SALE-03176,HJK-1EYY,HBRP-OIG8,2024-10-02,Americas,Leisure
SALE-03177,AQ6-L6GT,B9M8-0O2R,2025-05-21,MENA,Commuting
SALE-03179,AU5-BHXT,MECO-SFOG,2025-06-08,EU,Off-roading
SALE-03180,XOI-65FD,YR3X-KXWN,2025-01-16,UK,Off-roading
